context: Auntie, are you really going to marry the Crown Prince? response:	I have to marry him sooner or later.
context: You'd have to look at me when you read.\You'd have to look at me when you draw.\If that is so, I'd rather that you snatch me away right now.\Then... it's a deal?\When you get back from your heavenly trial\come and look for me in Qing Qiu.\By then, we don't have to worry about those wedding rituals.\We'll just go with Qing Qiu's customs. response:	I'll lock you in my Fox Den.
context: You'd have to look at me when you draw.\If that is so, I'd rather that you snatch me away right now.\Then... it's a deal?\When you get back from your heavenly trial\come and look for me in Qing Qiu.\By then, we don't have to worry about those wedding rituals.\We'll just go with Qing Qiu's customs.\I'll lock you in my Fox Den. response:	Sure.
context: If that is so, I'd rather that you snatch me away right now.\Then... it's a deal?\When you get back from your heavenly trial\come and look for me in Qing Qiu.\By then, we don't have to worry about those wedding rituals.\We'll just go with Qing Qiu's customs.\I'll lock you in my Fox Den.\Sure. response:	Qian Qian.
context: Then... it's a deal?\When you get back from your heavenly trial\come and look for me in Qing Qiu.\By then, we don't have to worry about those wedding rituals.\We'll just go with Qing Qiu's customs.\I'll lock you in my Fox Den.\Sure.\Qian Qian. response:	Let's go to bed?
context: When you get back from your heavenly trial\come and look for me in Qing Qiu.\By then, we don't have to worry about those wedding rituals.\We'll just go with Qing Qiu's customs.\I'll lock you in my Fox Den.\Sure.\Qian Qian.\Let's go to bed? response:	You're going to the Heavenly Palace?
context: come and look for me in Qing Qiu.\By then, we don't have to worry about those wedding rituals.\We'll just go with Qing Qiu's customs.\I'll lock you in my Fox Den.\Sure.\Qian Qian.\Let's go to bed?\You're going to the Heavenly Palace? response:	When we were in the Heavenly Palace
context: By then, we don't have to worry about those wedding rituals.\We'll just go with Qing Qiu's customs.\I'll lock you in my Fox Den.\Sure.\Qian Qian.\Let's go to bed?\You're going to the Heavenly Palace?\When we were in the Heavenly Palace response:	Lady Cheng Yu was very kind to me.
context: We'll just go with Qing Qiu's customs.\I'll lock you in my Fox Den.\Sure.\Qian Qian.\Let's go to bed?\You're going to the Heavenly Palace?\When we were in the Heavenly Palace\Lady Cheng Yu was very kind to me. response:	She suddenly had Auntie pass on a message to me urgently.
context: I'll lock you in my Fox Den.\Sure.\Qian Qian.\Let's go to bed?\You're going to the Heavenly Palace?\When we were in the Heavenly Palace\Lady Cheng Yu was very kind to me.\She suddenly had Auntie pass on a message to me urgently. response:	It must be a matter of great importance.
context: Sure.\Qian Qian.\Let's go to bed?\You're going to the Heavenly Palace?\When we were in the Heavenly Palace\Lady Cheng Yu was very kind to me.\She suddenly had Auntie pass on a message to me urgently.\It must be a matter of great importance. response:	I can't just make up some excuse.
context: Qian Qian.\Let's go to bed?\You're going to the Heavenly Palace?\When we were in the Heavenly Palace\Lady Cheng Yu was very kind to me.\She suddenly had Auntie pass on a message to me urgently.\It must be a matter of great importance.\I can't just make up some excuse. response:	You have a point.
context: Let's go to bed?\You're going to the Heavenly Palace?\When we were in the Heavenly Palace\Lady Cheng Yu was very kind to me.\She suddenly had Auntie pass on a message to me urgently.\It must be a matter of great importance.\I can't just make up some excuse.\You have a point. response:	She has taken good care of you.
context: You're going to the Heavenly Palace?\When we were in the Heavenly Palace\Lady Cheng Yu was very kind to me.\She suddenly had Auntie pass on a message to me urgently.\It must be a matter of great importance.\I can't just make up some excuse.\You have a point.\She has taken good care of you. response:	Now that she has asked to see you
context: When we were in the Heavenly Palace\Lady Cheng Yu was very kind to me.\She suddenly had Auntie pass on a message to me urgently.\It must be a matter of great importance.\I can't just make up some excuse.\You have a point.\She has taken good care of you.\Now that she has asked to see you response:	you shouldn't make any excuses not to go.
context: Lady Cheng Yu was very kind to me.\She suddenly had Auntie pass on a message to me urgently.\It must be a matter of great importance.\I can't just make up some excuse.\You have a point.\She has taken good care of you.\Now that she has asked to see you\you shouldn't make any excuses not to go. response:	However...
context: She suddenly had Auntie pass on a message to me urgently.\It must be a matter of great importance.\I can't just make up some excuse.\You have a point.\She has taken good care of you.\Now that she has asked to see you\you shouldn't make any excuses not to go.\However... response:	Your father has forbidden you to leave Qing Qiu.
context: It must be a matter of great importance.\I can't just make up some excuse.\You have a point.\She has taken good care of you.\Now that she has asked to see you\you shouldn't make any excuses not to go.\However...\Your father has forbidden you to leave Qing Qiu. response:	But Fourth Uncle, you could.
context: I can't just make up some excuse.\You have a point.\She has taken good care of you.\Now that she has asked to see you\you shouldn't make any excuses not to go.\However...\Your father has forbidden you to leave Qing Qiu.\But Fourth Uncle, you could. response:	Just take me along with you.
context: You have a point.\She has taken good care of you.\Now that she has asked to see you\you shouldn't make any excuses not to go.\However...\Your father has forbidden you to leave Qing Qiu.\But Fourth Uncle, you could.\Just take me along with you. response:	As long as I stay on you
