context: Huh? response:	Doesn't it seem more crowded than usual?
context: He's thick-skinned, broke as hell,\and the kind of absurd man who'd try to make someone feel indebted to him\by lending them an umbrella he just picked up somewhere!\I cannot let that slide, Yusa!\Ashiya?!\Why're you here?\Ashiya sure is taking his sweet time.\You want me to go and stuff myself with Sentucky's fried chicken? response:	Well you don't have to stuff yourself...
context: and the kind of absurd man who'd try to make someone feel indebted to him\by lending them an umbrella he just picked up somewhere!\I cannot let that slide, Yusa!\Ashiya?!\Why're you here?\Ashiya sure is taking his sweet time.\You want me to go and stuff myself with Sentucky's fried chicken?\Well you don't have to stuff yourself... response:	Telling me to go to the supermarket in front of the station
context: by lending them an umbrella he just picked up somewhere!\I cannot let that slide, Yusa!\Ashiya?!\Why're you here?\Ashiya sure is taking his sweet time.\You want me to go and stuff myself with Sentucky's fried chicken?\Well you don't have to stuff yourself...\Telling me to go to the supermarket in front of the station response:	and stuff myself with the 88Y per 100g bargain buckets of fried chicken would be one thing,
context: I cannot let that slide, Yusa!\Ashiya?!\Why're you here?\Ashiya sure is taking his sweet time.\You want me to go and stuff myself with Sentucky's fried chicken?\Well you don't have to stuff yourself...\Telling me to go to the supermarket in front of the station\and stuff myself with the 88Y per 100g bargain buckets of fried chicken would be one thing, response:	but we don't have the financial leeway to fill the coffers of Sentucky, a potential enemy!
context: Ashiya?!\Why're you here?\Ashiya sure is taking his sweet time.\You want me to go and stuff myself with Sentucky's fried chicken?\Well you don't have to stuff yourself...\Telling me to go to the supermarket in front of the station\and stuff myself with the 88Y per 100g bargain buckets of fried chicken would be one thing,\but we don't have the financial leeway to fill the coffers of Sentucky, a potential enemy! response:	Just hear me out.
context: Why're you here?\Ashiya sure is taking his sweet time.\You want me to go and stuff myself with Sentucky's fried chicken?\Well you don't have to stuff yourself...\Telling me to go to the supermarket in front of the station\and stuff myself with the 88Y per 100g bargain buckets of fried chicken would be one thing,\but we don't have the financial leeway to fill the coffers of Sentucky, a potential enemy!\Just hear me out. response:	We need to do this because they could end up being our enemy.
context: Ashiya sure is taking his sweet time.\You want me to go and stuff myself with Sentucky's fried chicken?\Well you don't have to stuff yourself...\Telling me to go to the supermarket in front of the station\and stuff myself with the 88Y per 100g bargain buckets of fried chicken would be one thing,\but we don't have the financial leeway to fill the coffers of Sentucky, a potential enemy!\Just hear me out.\We need to do this because they could end up being our enemy. response:	To defeat the enemy, you must first know the enemy.
context: You want me to go and stuff myself with Sentucky's fried chicken?\Well you don't have to stuff yourself...\Telling me to go to the supermarket in front of the station\and stuff myself with the 88Y per 100g bargain buckets of fried chicken would be one thing,\but we don't have the financial leeway to fill the coffers of Sentucky, a potential enemy!\Just hear me out.\We need to do this because they could end up being our enemy.\To defeat the enemy, you must first know the enemy. response:	You're my strategist. You couldn't possibly have forgotten these words, right?
context: Well you don't have to stuff yourself...\Telling me to go to the supermarket in front of the station\and stuff myself with the 88Y per 100g bargain buckets of fried chicken would be one thing,\but we don't have the financial leeway to fill the coffers of Sentucky, a potential enemy!\Just hear me out.\We need to do this because they could end up being our enemy.\To defeat the enemy, you must first know the enemy.\You're my strategist. You couldn't possibly have forgotten these words, right? response:	Milord...
context: Telling me to go to the supermarket in front of the station\and stuff myself with the 88Y per 100g bargain buckets of fried chicken would be one thing,\but we don't have the financial leeway to fill the coffers of Sentucky, a potential enemy!\Just hear me out.\We need to do this because they could end up being our enemy.\To defeat the enemy, you must first know the enemy.\You're my strategist. You couldn't possibly have forgotten these words, right?\Milord... response:	Your job isn't just to eat.
context: and stuff myself with the 88Y per 100g bargain buckets of fried chicken would be one thing,\but we don't have the financial leeway to fill the coffers of Sentucky, a potential enemy!\Just hear me out.\We need to do this because they could end up being our enemy.\To defeat the enemy, you must first know the enemy.\You're my strategist. You couldn't possibly have forgotten these words, right?\Milord...\Your job isn't just to eat. response:	You must eat as much as possible.
context: but we don't have the financial leeway to fill the coffers of Sentucky, a potential enemy!\Just hear me out.\We need to do this because they could end up being our enemy.\To defeat the enemy, you must first know the enemy.\You're my strategist. You couldn't possibly have forgotten these words, right?\Milord...\Your job isn't just to eat.\You must eat as much as possible. response:	Learn their strengths, weaknesses, and everything in between.
context: Just hear me out.\We need to do this because they could end up being our enemy.\To defeat the enemy, you must first know the enemy.\You're my strategist. You couldn't possibly have forgotten these words, right?\Milord...\Your job isn't just to eat.\You must eat as much as possible.\Learn their strengths, weaknesses, and everything in between. response:	This is the price we must pay to climb the corporate ladder.
context: We need to do this because they could end up being our enemy.\To defeat the enemy, you must first know the enemy.\You're my strategist. You couldn't possibly have forgotten these words, right?\Milord...\Your job isn't just to eat.\You must eat as much as possible.\Learn their strengths, weaknesses, and everything in between.\This is the price we must pay to climb the corporate ladder. response:	Please.
context: To defeat the enemy, you must first know the enemy.\You're my strategist. You couldn't possibly have forgotten these words, right?\Milord...\Your job isn't just to eat.\You must eat as much as possible.\Learn their strengths, weaknesses, and everything in between.\This is the price we must pay to climb the corporate ladder.\Please. response:	If you insist,
context: You're my strategist. You couldn't possibly have forgotten these words, right?\Milord...\Your job isn't just to eat.\You must eat as much as possible.\Learn their strengths, weaknesses, and everything in between.\This is the price we must pay to climb the corporate ladder.\Please.\If you insist, response:	then I cannot disobey.
context: Milord...\Your job isn't just to eat.\You must eat as much as possible.\Learn their strengths, weaknesses, and everything in between.\This is the price we must pay to climb the corporate ladder.\Please.\If you insist,\then I cannot disobey. response:	However!
context: Your job isn't just to eat.\You must eat as much as possible.\Learn their strengths, weaknesses, and everything in between.\This is the price we must pay to climb the corporate ladder.\Please.\If you insist,\then I cannot disobey.\However! response:	I, Ashiya Shirou, will keep expenses to a minimum as I thoroughly investigate them.
context: You must eat as much as possible.\Learn their strengths, weaknesses, and everything in between.\This is the price we must pay to climb the corporate ladder.\Please.\If you insist,\then I cannot disobey.\However!\I, Ashiya Shirou, will keep expenses to a minimum as I thoroughly investigate them. response:	Ashiya!
context: Learn their strengths, weaknesses, and everything in between.\This is the price we must pay to climb the corporate ladder.\Please.\If you insist,\then I cannot disobey.\However!\I, Ashiya Shirou, will keep expenses to a minimum as I thoroughly investigate them.\Ashiya! response:	Milord!
context: This is the price we must pay to climb the corporate ladder.\Please.\If you insist,\then I cannot disobey.\However!\I, Ashiya Shirou, will keep expenses to a minimum as I thoroughly investigate them.\Ashiya!\Milord! response:	Leave things to me!
context: Please.\If you insist,\then I cannot disobey.\However!\I, Ashiya Shirou, will keep expenses to a minimum as I thoroughly investigate them.\Ashiya!\Milord!\Leave things to me! response:	Ashiya!
context: If you insist,\then I cannot disobey.\However!\I, Ashiya Shirou, will keep expenses to a minimum as I thoroughly investigate them.\Ashiya!\Milord!\Leave things to me!\Ashiya! response:	I'm surrounded by retards.
context: then I cannot disobey.\However!\I, Ashiya Shirou, will keep expenses to a minimum as I thoroughly investigate them.\Ashiya!\Milord!\Leave things to me!\Ashiya!\I'm surrounded by retards. response:	Milord!
context: However!\I, Ashiya Shirou, will keep expenses to a minimum as I thoroughly investigate them.\Ashiya!\Milord!\Leave things to me!\Ashiya!\I'm surrounded by retards.\Milord! response:	Ashiya!
context: I, Ashiya Shirou, will keep expenses to a minimum as I thoroughly investigate them.\Ashiya!\Milord!\Leave things to me!\Ashiya!\I'm surrounded by retards.\Milord!\Ashiya! response:	Okay, I did say to learn everything, but you're taking way too long!
context: Ashiya!\Milord!\Leave things to me!\Ashiya!\I'm surrounded by retards.\Milord!\Ashiya!\Okay, I did say to learn everything, but you're taking way too long! response:	Maou...
context: Milord!\Leave things to me!\Ashiya!\I'm surrounded by retards.\Milord!\Ashiya!\Okay, I did say to learn everything, but you're taking way too long!\Maou... response:	Oh, Chiho. What's up?
context: Leave things to me!\Ashiya!\I'm surrounded by retards.\Milord!\Ashiya!\Okay, I did say to learn everything, but you're taking way too long!\Maou...\Oh, Chiho. What's up? response:	So, we're done with our usual jobs.
context: Ashiya!\I'm surrounded by retards.\Milord!\Ashiya!\Okay, I did say to learn everything, but you're taking way too long!\Maou...\Oh, Chiho. What's up?\So, we're done with our usual jobs. response:	Oh...
context: I'm surrounded by retards.\Milord!\Ashiya!\Okay, I did say to learn everything, but you're taking way too long!\Maou...\Oh, Chiho. What's up?\So, we're done with our usual jobs.\Oh... response:	Yeah, I guess.
context: Milord!\Ashiya!\Okay, I did say to learn everything, but you're taking way too long!\Maou...\Oh, Chiho. What's up?\So, we're done with our usual jobs.\Oh...\Yeah, I guess. response:	Everyone's lost their vigor,
