context: This baby came very strangely. response:	In just a few days, it's ready for birth.
context: When you cross repair your essence with Fifth Sister\if you're interrupted by the sound of the devil\you must not let it stop you.\Continue with the cross repair.\Leave the rest to me.\Okay.\You're awake.\Mother. response:	I'm not dead?
context: if you're interrupted by the sound of the devil\you must not let it stop you.\Continue with the cross repair.\Leave the rest to me.\Okay.\You're awake.\Mother.\I'm not dead? response:	I've cross repaired half of your essence.
context: you must not let it stop you.\Continue with the cross repair.\Leave the rest to me.\Okay.\You're awake.\Mother.\I'm not dead?\I've cross repaired half of your essence. response:	I've got you your life back.
context: Continue with the cross repair.\Leave the rest to me.\Okay.\You're awake.\Mother.\I'm not dead?\I've cross repaired half of your essence.\I've got you your life back. response:	Half of my essence...
context: Leave the rest to me.\Okay.\You're awake.\Mother.\I'm not dead?\I've cross repaired half of your essence.\I've got you your life back.\Half of my essence... response:	Since a high immortal repaired half of my essence
context: Okay.\You're awake.\Mother.\I'm not dead?\I've cross repaired half of your essence.\I've got you your life back.\Half of my essence...\Since a high immortal repaired half of my essence response:	does that mean my powers are unlimited?
context: You're awake.\Mother.\I'm not dead?\I've cross repaired half of your essence.\I've got you your life back.\Half of my essence...\Since a high immortal repaired half of my essence\does that mean my powers are unlimited? response:	I don't have to be scared of any calamities.
context: Mother.\I'm not dead?\I've cross repaired half of your essence.\I've got you your life back.\Half of my essence...\Since a high immortal repaired half of my essence\does that mean my powers are unlimited?\I don't have to be scared of any calamities. response:	Yes, you can go around causing trouble again.
context: I'm not dead?\I've cross repaired half of your essence.\I've got you your life back.\Half of my essence...\Since a high immortal repaired half of my essence\does that mean my powers are unlimited?\I don't have to be scared of any calamities.\Yes, you can go around causing trouble again. response:	Where's Master?
context: I've cross repaired half of your essence.\I've got you your life back.\Half of my essence...\Since a high immortal repaired half of my essence\does that mean my powers are unlimited?\I don't have to be scared of any calamities.\Yes, you can go around causing trouble again.\Where's Master? response:	Mother, where's Master?
context: I've got you your life back.\Half of my essence...\Since a high immortal repaired half of my essence\does that mean my powers are unlimited?\I don't have to be scared of any calamities.\Yes, you can go around causing trouble again.\Where's Master?\Mother, where's Master? response:	He's in Yanhua Cave.
context: Half of my essence...\Since a high immortal repaired half of my essence\does that mean my powers are unlimited?\I don't have to be scared of any calamities.\Yes, you can go around causing trouble again.\Where's Master?\Mother, where's Master?\He's in Yanhua Cave. response:	That's the best place to preserve a corpse.
context: Since a high immortal repaired half of my essence\does that mean my powers are unlimited?\I don't have to be scared of any calamities.\Yes, you can go around causing trouble again.\Where's Master?\Mother, where's Master?\He's in Yanhua Cave.\That's the best place to preserve a corpse. response:	That's good.
context: does that mean my powers are unlimited?\I don't have to be scared of any calamities.\Yes, you can go around causing trouble again.\Where's Master?\Mother, where's Master?\He's in Yanhua Cave.\That's the best place to preserve a corpse.\That's good. response:	Mother, I've missed you.
context: I don't have to be scared of any calamities.\Yes, you can go around causing trouble again.\Where's Master?\Mother, where's Master?\He's in Yanhua Cave.\That's the best place to preserve a corpse.\That's good.\Mother, I've missed you. response:	I've missed you too.
context: Yes, you can go around causing trouble again.\Where's Master?\Mother, where's Master?\He's in Yanhua Cave.\That's the best place to preserve a corpse.\That's good.\Mother, I've missed you.\I've missed you too. response:	I can't believe you came back half dead.
context: Where's Master?\Mother, where's Master?\He's in Yanhua Cave.\That's the best place to preserve a corpse.\That's good.\Mother, I've missed you.\I've missed you too.\I can't believe you came back half dead. response:	Looks like even though Mo Yuan protected you from lightning
context: Mother, where's Master?\He's in Yanhua Cave.\That's the best place to preserve a corpse.\That's good.\Mother, I've missed you.\I've missed you too.\I can't believe you came back half dead.\Looks like even though Mo Yuan protected you from lightning response:	you still can't come down from your godly ascension.
context: He's in Yanhua Cave.\That's the best place to preserve a corpse.\That's good.\Mother, I've missed you.\I've missed you too.\I can't believe you came back half dead.\Looks like even though Mo Yuan protected you from lightning\you still can't come down from your godly ascension. response:	God has changed his way of tormenting you.
context: That's the best place to preserve a corpse.\That's good.\Mother, I've missed you.\I've missed you too.\I can't believe you came back half dead.\Looks like even though Mo Yuan protected you from lightning\you still can't come down from your godly ascension.\God has changed his way of tormenting you. response:	You're right.
context: That's good.\Mother, I've missed you.\I've missed you too.\I can't believe you came back half dead.\Looks like even though Mo Yuan protected you from lightning\you still can't come down from your godly ascension.\God has changed his way of tormenting you.\You're right. response:	Godly ascension is too easy for me.
context: Mother, I've missed you.\I've missed you too.\I can't believe you came back half dead.\Looks like even though Mo Yuan protected you from lightning\you still can't come down from your godly ascension.\God has changed his way of tormenting you.\You're right.\Godly ascension is too easy for me. response:	God can't stand the sight of it.
context: I've missed you too.\I can't believe you came back half dead.\Looks like even though Mo Yuan protected you from lightning\you still can't come down from your godly ascension.\God has changed his way of tormenting you.\You're right.\Godly ascension is too easy for me.\God can't stand the sight of it. response:	You used blood from your own heart
context: I can't believe you came back half dead.\Looks like even though Mo Yuan protected you from lightning\you still can't come down from your godly ascension.\God has changed his way of tormenting you.\You're right.\Godly ascension is too easy for me.\God can't stand the sight of it.\You used blood from your own heart response:	to preserve your master's body.
context: Looks like even though Mo Yuan protected you from lightning\you still can't come down from your godly ascension.\God has changed his way of tormenting you.\You're right.\Godly ascension is too easy for me.\God can't stand the sight of it.\You used blood from your own heart\to preserve your master's body. response:	You've repaid the debt of his protecting you from three bolts of lightning.
context: you still can't come down from your godly ascension.\God has changed his way of tormenting you.\You're right.\Godly ascension is too easy for me.\God can't stand the sight of it.\You used blood from your own heart\to preserve your master's body.\You've repaid the debt of his protecting you from three bolts of lightning. response:	But Fifth Sister, you must know
