context: And you... response:	When I felt the strongest for you, you knocked me down.
context: Yes, Your Highness.\She entered from the South Heavenly Gate just now.\She is now in the Hall of Beautiful Youth.\What did you say?\The Hall of Beautiful Youth?\That place...\Didn't His Highness never allow anyone to go near it?\Yes, Your Highness. response:	I also find it strange.
context: She entered from the South Heavenly Gate just now.\She is now in the Hall of Beautiful Youth.\What did you say?\The Hall of Beautiful Youth?\That place...\Didn't His Highness never allow anyone to go near it?\Yes, Your Highness.\I also find it strange. response:	It is reasonable to say that in these 300 years
context: She is now in the Hall of Beautiful Youth.\What did you say?\The Hall of Beautiful Youth?\That place...\Didn't His Highness never allow anyone to go near it?\Yes, Your Highness.\I also find it strange.\It is reasonable to say that in these 300 years response:	His Highness has always safeguarded the place where that mortal lived.
context: What did you say?\The Hall of Beautiful Youth?\That place...\Didn't His Highness never allow anyone to go near it?\Yes, Your Highness.\I also find it strange.\It is reasonable to say that in these 300 years\His Highness has always safeguarded the place where that mortal lived. response:	How come he has suddenly allowed another woman to live there?
context: The Hall of Beautiful Youth?\That place...\Didn't His Highness never allow anyone to go near it?\Yes, Your Highness.\I also find it strange.\It is reasonable to say that in these 300 years\His Highness has always safeguarded the place where that mortal lived.\How come he has suddenly allowed another woman to live there? response:	Xin Nu.
context: That place...\Didn't His Highness never allow anyone to go near it?\Yes, Your Highness.\I also find it strange.\It is reasonable to say that in these 300 years\His Highness has always safeguarded the place where that mortal lived.\How come he has suddenly allowed another woman to live there?\Xin Nu. response:	I think this Bai Qian...
context: Didn't His Highness never allow anyone to go near it?\Yes, Your Highness.\I also find it strange.\It is reasonable to say that in these 300 years\His Highness has always safeguarded the place where that mortal lived.\How come he has suddenly allowed another woman to live there?\Xin Nu.\I think this Bai Qian... response:	will be harder to to deal with than I had imagined.
context: Yes, Your Highness.\I also find it strange.\It is reasonable to say that in these 300 years\His Highness has always safeguarded the place where that mortal lived.\How come he has suddenly allowed another woman to live there?\Xin Nu.\I think this Bai Qian...\will be harder to to deal with than I had imagined. response:	Why does Your Highness say that?
context: I also find it strange.\It is reasonable to say that in these 300 years\His Highness has always safeguarded the place where that mortal lived.\How come he has suddenly allowed another woman to live there?\Xin Nu.\I think this Bai Qian...\will be harder to to deal with than I had imagined.\Why does Your Highness say that? response:	His Highness has broken his own rules again and again for her.
context: It is reasonable to say that in these 300 years\His Highness has always safeguarded the place where that mortal lived.\How come he has suddenly allowed another woman to live there?\Xin Nu.\I think this Bai Qian...\will be harder to to deal with than I had imagined.\Why does Your Highness say that?\His Highness has broken his own rules again and again for her. response:	It's as if he has lost his mind.
context: His Highness has always safeguarded the place where that mortal lived.\How come he has suddenly allowed another woman to live there?\Xin Nu.\I think this Bai Qian...\will be harder to to deal with than I had imagined.\Why does Your Highness say that?\His Highness has broken his own rules again and again for her.\It's as if he has lost his mind. response:	I had comforted myself before by saying that it is all right.
context: How come he has suddenly allowed another woman to live there?\Xin Nu.\I think this Bai Qian...\will be harder to to deal with than I had imagined.\Why does Your Highness say that?\His Highness has broken his own rules again and again for her.\It's as if he has lost his mind.\I had comforted myself before by saying that it is all right. response:	At least the one His Highness loves the most is dead.
context: Xin Nu.\I think this Bai Qian...\will be harder to to deal with than I had imagined.\Why does Your Highness say that?\His Highness has broken his own rules again and again for her.\It's as if he has lost his mind.\I had comforted myself before by saying that it is all right.\At least the one His Highness loves the most is dead. response:	But now...
context: I think this Bai Qian...\will be harder to to deal with than I had imagined.\Why does Your Highness say that?\His Highness has broken his own rules again and again for her.\It's as if he has lost his mind.\I had comforted myself before by saying that it is all right.\At least the one His Highness loves the most is dead.\But now... response:	Xin Nu.
context: will be harder to to deal with than I had imagined.\Why does Your Highness say that?\His Highness has broken his own rules again and again for her.\It's as if he has lost his mind.\I had comforted myself before by saying that it is all right.\At least the one His Highness loves the most is dead.\But now...\Xin Nu. response:	You will help me, right?
context: Why does Your Highness say that?\His Highness has broken his own rules again and again for her.\It's as if he has lost his mind.\I had comforted myself before by saying that it is all right.\At least the one His Highness loves the most is dead.\But now...\Xin Nu.\You will help me, right? response:	No matter what
context: His Highness has broken his own rules again and again for her.\It's as if he has lost his mind.\I had comforted myself before by saying that it is all right.\At least the one His Highness loves the most is dead.\But now...\Xin Nu.\You will help me, right?\No matter what response:	you will help me win back Ye Hua's heart, won't you?
context: It's as if he has lost his mind.\I had comforted myself before by saying that it is all right.\At least the one His Highness loves the most is dead.\But now...\Xin Nu.\You will help me, right?\No matter what\you will help me win back Ye Hua's heart, won't you? response:	Rest assured, Your Highness.
context: I had comforted myself before by saying that it is all right.\At least the one His Highness loves the most is dead.\But now...\Xin Nu.\You will help me, right?\No matter what\you will help me win back Ye Hua's heart, won't you?\Rest assured, Your Highness. response:	I will always be your most capable assistant.
context: At least the one His Highness loves the most is dead.\But now...\Xin Nu.\You will help me, right?\No matter what\you will help me win back Ye Hua's heart, won't you?\Rest assured, Your Highness.\I will always be your most capable assistant. response:	I will definitely help you.
context: But now...\Xin Nu.\You will help me, right?\No matter what\you will help me win back Ye Hua's heart, won't you?\Rest assured, Your Highness.\I will always be your most capable assistant.\I will definitely help you. response:	Your Highness, do not be afraid.
context: Xin Nu.\You will help me, right?\No matter what\you will help me win back Ye Hua's heart, won't you?\Rest assured, Your Highness.\I will always be your most capable assistant.\I will definitely help you.\Your Highness, do not be afraid. response:	She has just arrived in the Nine Heavens.
context: You will help me, right?\No matter what\you will help me win back Ye Hua's heart, won't you?\Rest assured, Your Highness.\I will always be your most capable assistant.\I will definitely help you.\Your Highness, do not be afraid.\She has just arrived in the Nine Heavens. response:	She is not familiar with this place yet.
