context: Japonet, Japonet... Japonet's low prices are incredible! response:	Japonet T.V. shopping.
context: Eh? Umaru-chan?\Didn't you take the day off?\I felt better so I decided to come.\-Are you ok Umaru-chan?\-Yeah.\You shouldn't push yourself.\You did well by showing up, Umaru-san.\We shall have a battle in today's exam. response:	Don't make the recently recovered Umaru-san feel pressured.
context: Didn't you take the day off?\I felt better so I decided to come.\-Are you ok Umaru-chan?\-Yeah.\You shouldn't push yourself.\You did well by showing up, Umaru-san.\We shall have a battle in today's exam.\Don't make the recently recovered Umaru-san feel pressured. response:	Alright, in order to make it fair, I'll only use my left hand.
context: I felt better so I decided to come.\-Are you ok Umaru-chan?\-Yeah.\You shouldn't push yourself.\You did well by showing up, Umaru-san.\We shall have a battle in today's exam.\Don't make the recently recovered Umaru-san feel pressured.\Alright, in order to make it fair, I'll only use my left hand. response:	That makes no sense at all!
context: -Are you ok Umaru-chan?\-Yeah.\You shouldn't push yourself.\You did well by showing up, Umaru-san.\We shall have a battle in today's exam.\Don't make the recently recovered Umaru-san feel pressured.\Alright, in order to make it fair, I'll only use my left hand.\That makes no sense at all! response:	D-Don't fight.
context: -Yeah.\You shouldn't push yourself.\You did well by showing up, Umaru-san.\We shall have a battle in today's exam.\Don't make the recently recovered Umaru-san feel pressured.\Alright, in order to make it fair, I'll only use my left hand.\That makes no sense at all!\D-Don't fight. response:	I'll be the winner!
context: You shouldn't push yourself.\You did well by showing up, Umaru-san.\We shall have a battle in today's exam.\Don't make the recently recovered Umaru-san feel pressured.\Alright, in order to make it fair, I'll only use my left hand.\That makes no sense at all!\D-Don't fight.\I'll be the winner! response:	It seems your fever went down.
context: You did well by showing up, Umaru-san.\We shall have a battle in today's exam.\Don't make the recently recovered Umaru-san feel pressured.\Alright, in order to make it fair, I'll only use my left hand.\That makes no sense at all!\D-Don't fight.\I'll be the winner!\It seems your fever went down. response:	Still, you should rest a bit more.
context: We shall have a battle in today's exam.\Don't make the recently recovered Umaru-san feel pressured.\Alright, in order to make it fair, I'll only use my left hand.\That makes no sense at all!\D-Don't fight.\I'll be the winner!\It seems your fever went down.\Still, you should rest a bit more. response:	Umaru!
context: Don't make the recently recovered Umaru-san feel pressured.\Alright, in order to make it fair, I'll only use my left hand.\That makes no sense at all!\D-Don't fight.\I'll be the winner!\It seems your fever went down.\Still, you should rest a bit more.\Umaru! response:	-I'm sorry!
context: Alright, in order to make it fair, I'll only use my left hand.\That makes no sense at all!\D-Don't fight.\I'll be the winner!\It seems your fever went down.\Still, you should rest a bit more.\Umaru!\-I'm sorry! response:	U.M.R. yeah! U.M.R. yeah!
context: That makes no sense at all!\D-Don't fight.\I'll be the winner!\It seems your fever went down.\Still, you should rest a bit more.\Umaru!\-I'm sorry!\U.M.R. yeah! U.M.R. yeah! response:	Not a UMA! Umaru!
context: D-Don't fight.\I'll be the winner!\It seems your fever went down.\Still, you should rest a bit more.\Umaru!\-I'm sorry!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru! response:	U.M.R. yeah! U.M.R. yeah!
context: I'll be the winner!\It seems your fever went down.\Still, you should rest a bit more.\Umaru!\-I'm sorry!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\U.M.R. yeah! U.M.R. yeah! response:	Not a UMA! Umaru!
context: It seems your fever went down.\Still, you should rest a bit more.\Umaru!\-I'm sorry!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru! response:	I'm always 120 devoted to fun!
context: Still, you should rest a bit more.\Umaru!\-I'm sorry!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\I'm always 120 devoted to fun! response:	tsu
context: Umaru!\-I'm sorry!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\I'm always 120 devoted to fun!\tsu response:	da
context: -I'm sorry!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\I'm always 120 devoted to fun!\tsu\da response:	tte
context: U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\I'm always 120 devoted to fun!\tsu\da\tte response:	zen
context: Not a UMA! Umaru!\U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\I'm always 120 devoted to fun!\tsu\da\tte\zen response:	shin
context: U.M.R. yeah! U.M.R. yeah!\Not a UMA! Umaru!\I'm always 120 devoted to fun!\tsu\da\tte\zen\shin response:	ze
context: Not a UMA! Umaru!\I'm always 120 devoted to fun!\tsu\da\tte\zen\shin\ze response:	re
context: I'm always 120 devoted to fun!\tsu\da\tte\zen\shin\ze\re response:	so
context: tsu\da\tte\zen\shin\ze\re\so response:	bi
context: da\tte\zen\shin\ze\re\so\bi response:	ta
context: tte\zen\shin\ze\re\so\bi\ta response:	se
context: zen\shin\ze\re\so\bi\ta\se response:	tsu
context: shin\ze\re\so\bi\ta\se\tsu response:	da
context: ze\re\so\bi\ta\se\tsu\da response:	tte
context: re\so\bi\ta\se\tsu\da\tte response:	zen
context: so\bi\ta\se\tsu\da\tte\zen response:	shin
context: bi\ta\se\tsu\da\tte\zen\shin response:	ze
context: ta\se\tsu\da\tte\zen\shin\ze response:	re
context: se\tsu\da\tte\zen\shin\ze\re response:	so
context: tsu\da\tte\zen\shin\ze\re\so response:	bi
context: da\tte\zen\shin\ze\re\so\bi response:	A girl's gotta enjoy herself!
context: tte\zen\shin\ze\re\so\bi\A girl's gotta enjoy herself! response:	mo
context: zen\shin\ze\re\so\bi\A girl's gotta enjoy herself!\mo response:	tto
context: shin\ze\re\so\bi\A girl's gotta enjoy herself!\mo\tto response:	mo
context: ze\re\so\bi\A girl's gotta enjoy herself!\mo\tto\mo response:	tto
context: re\so\bi\A girl's gotta enjoy herself!\mo\tto\mo\tto response:	ta
context: so\bi\A girl's gotta enjoy herself!\mo\tto\mo\tto\ta response:	no
context: bi\A girl's gotta enjoy herself!\mo\tto\mo\tto\ta\no response:	shi
context: A girl's gotta enjoy herself!\mo\tto\mo\tto\ta\no\shi response:	me
context: mo\tto\mo\tto\ta\no\shi\me response:	yo
context: tto\mo\tto\ta\no\shi\me\yo response:	to
context: mo\tto\ta\no\shi\me\yo\to response:	me
context: tto\ta\no\shi\me\yo\to\me response:	mo
context: ta\no\shi\me\yo\to\me\mo response:	tto
context: no\shi\me\yo\to\me\mo\tto response:	mo
context: shi\me\yo\to\me\mo\tto\mo response:	tto
context: me\yo\to\me\mo\tto\mo\tto response:	ta
context: yo\to\me\mo\tto\mo\tto\ta response:	no
context: to\me\mo\tto\mo\tto\ta\no response:	shi
context: me\mo\tto\mo\tto\ta\no\shi response:	me
context: mo\tto\mo\tto\ta\no\shi\me response:	yo
context: tto\mo\tto\ta\no\shi\me\yo response:	to
context: mo\tto\ta\no\shi\me\yo\to response:	So long as nobody else finds out,
context: tto\ta\no\shi\me\yo\to\So long as nobody else finds out, response:	me
context: ta\no\shi\me\yo\to\So long as nobody else finds out,\me response:	min
context: no\shi\me\yo\to\So long as nobody else finds out,\me\min response:	na
context: shi\me\yo\to\So long as nobody else finds out,\me\min\na response:	ni
context: me\yo\to\So long as nobody else finds out,\me\min\na\ni response:	ki
context: yo\to\So long as nobody else finds out,\me\min\na\ni\ki response:	zu
context: to\So long as nobody else finds out,\me\min\na\ni\ki\zu response:	ka
context: So long as nobody else finds out,\me\min\na\ni\ki\zu\ka response:	re
context: me\min\na\ni\ki\zu\ka\re response:	na
context: min\na\ni\ki\zu\ka\re\na response:	you
context: na\ni\ki\zu\ka\re\na\you response:	ni
context: ni\ki\zu\ka\re\na\you\ni response:	min
context: ki\zu\ka\re\na\you\ni\min response:	na
context: zu\ka\re\na\you\ni\min\na response:	ni
context: ka\re\na\you\ni\min\na\ni response:	ki
context: re\na\you\ni\min\na\ni\ki response:	ki
context: na\you\ni\min\na\ni\ki\ki response:	zu
context: you\ni\min\na\ni\ki\ki\zu response:	zu
context: ni\min\na\ni\ki\ki\zu\zu response:	ka
context: min\na\ni\ki\ki\zu\zu\ka response:	ka
context: na\ni\ki\ki\zu\zu\ka\ka response:	re
context: ni\ki\ki\zu\zu\ka\ka\re response:	re
context: ki\ki\zu\zu\ka\ka\re\re response:	na
context: ki\zu\zu\ka\ka\re\re\na response:	na
context: zu\zu\ka\ka\re\re\na\na response:	you
context: zu\ka\ka\re\re\na\na\you response:	ni
context: ka\ka\re\re\na\na\you\ni response:	it's onward! To the Slackster life!
context: ka\re\re\na\na\you\ni\it's onward! To the Slackster life! response:	za
context: re\re\na\na\you\ni\it's onward! To the Slackster life!\za response:	yu
context: re\na\na\you\ni\it's onward! To the Slackster life!\za\yu response:	ke!
context: na\na\you\ni\it's onward! To the Slackster life!\za\yu\ke! response:	hi
context: na\you\ni\it's onward! To the Slackster life!\za\yu\ke!\hi response:	mou
context: you\ni\it's onward! To the Slackster life!\za\yu\ke!\hi\mou response:	to
context: ni\it's onward! To the Slackster life!\za\yu\ke!\hi\mou\to response:	life
context: it's onward! To the Slackster life!\za\yu\ke!\hi\mou\to\life response:	za
context: za\yu\ke!\hi\mou\to\life\za response:	yu
context: yu\ke!\hi\mou\to\life\za\yu response:	ke!
context: ke!\hi\mou\to\life\za\yu\ke! response:	m 529 -111.5 b 534.19 -114.48 542.05 -115.91 550.5 -117 l 886.5 219.5 b 882.58 223.53 878.44 226.59 874 228.5
context: hi\mou\to\life\za\yu\ke!\m 529 -111.5 b 534.19 -114.48 542.05 -115.91 550.5 -117 l 886.5 219.5 b 882.58 223.53 878.44 226.59 874 228.5 response:	ER S
