context: Since you understand me, you should know response:	everything I have done is so I can marry Ye Hua.
context: That is not the case.\Your Majesty, when I was young, Father often told me\I will be succeeding the position of Heavenly Lord.\And I am not like the average person.\When Second Uncle Sang Ji was born\36 rainbow birds sang and flew circles in the sky.\When I was born, there were 72 rainbow birds to celebrate my arrival.\Your Majesty even granted me the status of heir apparent response:	in front of the entire world.
context: Your Majesty, when I was young, Father often told me\I will be succeeding the position of Heavenly Lord.\And I am not like the average person.\When Second Uncle Sang Ji was born\36 rainbow birds sang and flew circles in the sky.\When I was born, there were 72 rainbow birds to celebrate my arrival.\Your Majesty even granted me the status of heir apparent\in front of the entire world. response:	In these dozens of millennia
context: I will be succeeding the position of Heavenly Lord.\And I am not like the average person.\When Second Uncle Sang Ji was born\36 rainbow birds sang and flew circles in the sky.\When I was born, there were 72 rainbow birds to celebrate my arrival.\Your Majesty even granted me the status of heir apparent\in front of the entire world.\In these dozens of millennia response:	I have lived with caution daring not to make the slightest mistake
context: And I am not like the average person.\When Second Uncle Sang Ji was born\36 rainbow birds sang and flew circles in the sky.\When I was born, there were 72 rainbow birds to celebrate my arrival.\Your Majesty even granted me the status of heir apparent\in front of the entire world.\In these dozens of millennia\I have lived with caution daring not to make the slightest mistake response:	for fear of disappointing Your Majesty and Father.
context: When Second Uncle Sang Ji was born\36 rainbow birds sang and flew circles in the sky.\When I was born, there were 72 rainbow birds to celebrate my arrival.\Your Majesty even granted me the status of heir apparent\in front of the entire world.\In these dozens of millennia\I have lived with caution daring not to make the slightest mistake\for fear of disappointing Your Majesty and Father. response:	You have lived up to our expectations.
context: 36 rainbow birds sang and flew circles in the sky.\When I was born, there were 72 rainbow birds to celebrate my arrival.\Your Majesty even granted me the status of heir apparent\in front of the entire world.\In these dozens of millennia\I have lived with caution daring not to make the slightest mistake\for fear of disappointing Your Majesty and Father.\You have lived up to our expectations. response:	My goal is to be a wise ruler.
context: When I was born, there were 72 rainbow birds to celebrate my arrival.\Your Majesty even granted me the status of heir apparent\in front of the entire world.\In these dozens of millennia\I have lived with caution daring not to make the slightest mistake\for fear of disappointing Your Majesty and Father.\You have lived up to our expectations.\My goal is to be a wise ruler. response:	And not to lose myself in the affairs of men and women.
context: Your Majesty even granted me the status of heir apparent\in front of the entire world.\In these dozens of millennia\I have lived with caution daring not to make the slightest mistake\for fear of disappointing Your Majesty and Father.\You have lived up to our expectations.\My goal is to be a wise ruler.\And not to lose myself in the affairs of men and women. response:	That is why I believe being married at this time is too soon.
context: in front of the entire world.\In these dozens of millennia\I have lived with caution daring not to make the slightest mistake\for fear of disappointing Your Majesty and Father.\You have lived up to our expectations.\My goal is to be a wise ruler.\And not to lose myself in the affairs of men and women.\That is why I believe being married at this time is too soon. response:	Your Majesty, please allow me 20,000 time to gain experience.
context: In these dozens of millennia\I have lived with caution daring not to make the slightest mistake\for fear of disappointing Your Majesty and Father.\You have lived up to our expectations.\My goal is to be a wise ruler.\And not to lose myself in the affairs of men and women.\That is why I believe being married at this time is too soon.\Your Majesty, please allow me 20,000 time to gain experience. response:	That does sound reasonable.
context: I have lived with caution daring not to make the slightest mistake\for fear of disappointing Your Majesty and Father.\You have lived up to our expectations.\My goal is to be a wise ruler.\And not to lose myself in the affairs of men and women.\That is why I believe being married at this time is too soon.\Your Majesty, please allow me 20,000 time to gain experience.\That does sound reasonable. response:	Ye Hua.
context: for fear of disappointing Your Majesty and Father.\You have lived up to our expectations.\My goal is to be a wise ruler.\And not to lose myself in the affairs of men and women.\That is why I believe being married at this time is too soon.\Your Majesty, please allow me 20,000 time to gain experience.\That does sound reasonable.\Ye Hua. response:	Are those words from your heart?
context: You have lived up to our expectations.\My goal is to be a wise ruler.\And not to lose myself in the affairs of men and women.\That is why I believe being married at this time is too soon.\Your Majesty, please allow me 20,000 time to gain experience.\That does sound reasonable.\Ye Hua.\Are those words from your heart? response:	The truth, no lies.
context: My goal is to be a wise ruler.\And not to lose myself in the affairs of men and women.\That is why I believe being married at this time is too soon.\Your Majesty, please allow me 20,000 time to gain experience.\That does sound reasonable.\Ye Hua.\Are those words from your heart?\The truth, no lies. response:	This is the first time you have spoken up against me.
context: And not to lose myself in the affairs of men and women.\That is why I believe being married at this time is too soon.\Your Majesty, please allow me 20,000 time to gain experience.\That does sound reasonable.\Ye Hua.\Are those words from your heart?\The truth, no lies.\This is the first time you have spoken up against me. response:	I have been unfilial. Please forgive me, Your Majesty.
context: That is why I believe being married at this time is too soon.\Your Majesty, please allow me 20,000 time to gain experience.\That does sound reasonable.\Ye Hua.\Are those words from your heart?\The truth, no lies.\This is the first time you have spoken up against me.\I have been unfilial. Please forgive me, Your Majesty. response:	Ye Hua.
context: Your Majesty, please allow me 20,000 time to gain experience.\That does sound reasonable.\Ye Hua.\Are those words from your heart?\The truth, no lies.\This is the first time you have spoken up against me.\I have been unfilial. Please forgive me, Your Majesty.\Ye Hua. response:	Do you not want to marry Bai Qian of Qing Qiu because you have a secret?
context: That does sound reasonable.\Ye Hua.\Are those words from your heart?\The truth, no lies.\This is the first time you have spoken up against me.\I have been unfilial. Please forgive me, Your Majesty.\Ye Hua.\Do you not want to marry Bai Qian of Qing Qiu because you have a secret? response:	There is no secret.
